"species","tech.rep","iron","time","cfu"
"Pseudomonas aeruginosa",1,"Low iron","0",1e+07
"Pseudomonas aeruginosa",2,"Low iron","0",1.2e+07
"Pseudomonas aeruginosa",3,"Low iron","0",2e+06
"Pseudomonas aeruginosa",4,"Low iron","0",1.2e+07
"Pseudomonas aeruginosa",5,"Low iron","0",1.4e+07
"Pseudomonas aeruginosa",6,"Low iron","0",1.2e+07
"Pseudomonas aeruginosa",7,"Low iron","0",8e+06
"Pseudomonas aeruginosa",8,"Low iron","0",1.2e+07
"Pseudomonas aeruginosa",9,"Low iron","0",8e+06
"Pseudomonas aeruginosa",1,"High iron","0",4e+06
"Pseudomonas aeruginosa",2,"High iron","0",1.4e+07
"Pseudomonas aeruginosa",3,"High iron","0",6e+06
"Pseudomonas aeruginosa",4,"High iron","0",4e+06
"Pseudomonas aeruginosa",5,"High iron","0",6e+06
"Pseudomonas aeruginosa",6,"High iron","0",1.2e+07
"Pseudomonas aeruginosa",7,"High iron","0",1.4e+07
"Pseudomonas aeruginosa",8,"High iron","0",1.2e+07
"Pseudomonas aeruginosa",9,"High iron","0",6e+06
"Staphylococcus aureus",1,"Low iron","0",2400000
"Staphylococcus aureus",2,"Low iron","0",2200000
"Staphylococcus aureus",3,"Low iron","0",1600000
"Staphylococcus aureus",4,"Low iron","0",2200000
"Staphylococcus aureus",5,"Low iron","0",3e+06
"Staphylococcus aureus",6,"Low iron","0",1e+06
"Staphylococcus aureus",7,"Low iron","0",2400000
"Staphylococcus aureus",8,"Low iron","0",1600000
"Staphylococcus aureus",9,"Low iron","0",2400000
"Staphylococcus aureus",1,"High iron","0",1600000
"Staphylococcus aureus",2,"High iron","0",1600000
"Staphylococcus aureus",3,"High iron","0",3600000
"Staphylococcus aureus",4,"High iron","0",1600000
"Staphylococcus aureus",5,"High iron","0",1600000
"Staphylococcus aureus",6,"High iron","0",2800000
"Staphylococcus aureus",7,"High iron","0",2800000
"Staphylococcus aureus",8,"High iron","0",2400000
"Staphylococcus aureus",9,"High iron","0",2200000
"Streptococcus sanguinis",1,"Low iron","0",1600000
"Streptococcus sanguinis",2,"Low iron","0",3e+06
"Streptococcus sanguinis",3,"Low iron","0",2400000
"Streptococcus sanguinis",4,"Low iron","0",2400000
"Streptococcus sanguinis",5,"Low iron","0",3200000
"Streptococcus sanguinis",6,"Low iron","0",2400000
"Streptococcus sanguinis",7,"Low iron","0",3400000
"Streptococcus sanguinis",8,"Low iron","0",2400000
"Streptococcus sanguinis",9,"Low iron","0",2e+06
"Streptococcus sanguinis",1,"High iron","0",2600000
"Streptococcus sanguinis",2,"High iron","0",3e+06
"Streptococcus sanguinis",3,"High iron","0",3400000
"Streptococcus sanguinis",4,"High iron","0",2400000
"Streptococcus sanguinis",5,"High iron","0",1200000
"Streptococcus sanguinis",6,"High iron","0",4e+05
"Streptococcus sanguinis",7,"High iron","0",3800000
"Streptococcus sanguinis",8,"High iron","0",3e+06
"Streptococcus sanguinis",9,"High iron","0",3200000
"Burkholderia orbicola",1,"Low iron","0",2e+05
"Burkholderia orbicola",2,"Low iron","0",320000
"Burkholderia orbicola",3,"Low iron","0",260000
"Burkholderia orbicola",4,"Low iron","0",380000
"Burkholderia orbicola",5,"Low iron","0",2e+05
"Burkholderia orbicola",6,"Low iron","0",220000
"Burkholderia orbicola",7,"Low iron","0",3e+05
"Burkholderia orbicola",8,"Low iron","0",320000
"Burkholderia orbicola",9,"Low iron","0",280000
"Burkholderia orbicola",1,"High iron","0",160000
"Burkholderia orbicola",2,"High iron","0",2e+05
"Burkholderia orbicola",3,"High iron","0",220000
"Burkholderia orbicola",4,"High iron","0",340000
"Burkholderia orbicola",5,"High iron","0",160000
"Burkholderia orbicola",6,"High iron","0",260000
"Burkholderia orbicola",7,"High iron","0",340000
"Burkholderia orbicola",8,"High iron","0",240000
"Burkholderia orbicola",9,"High iron","0",240000
"Pseudomonas aeruginosa",1,"Low iron","6",4e+09
"Pseudomonas aeruginosa",2,"Low iron","6",1e+09
"Pseudomonas aeruginosa",3,"Low iron","6",5e+09
"Pseudomonas aeruginosa",4,"Low iron","6",1e+09
"Pseudomonas aeruginosa",5,"Low iron","6",3e+09
"Pseudomonas aeruginosa",6,"Low iron","6",3e+09
"Pseudomonas aeruginosa",7,"Low iron","6",2.2e+09
"Pseudomonas aeruginosa",8,"Low iron","6",2.8e+09
"Pseudomonas aeruginosa",9,"Low iron","6",2.2e+09
"Pseudomonas aeruginosa",1,"High iron","6",3e+09
"Pseudomonas aeruginosa",2,"High iron","6",2.6e+09
"Pseudomonas aeruginosa",3,"High iron","6",2e+09
"Pseudomonas aeruginosa",4,"High iron","6",3e+09
"Pseudomonas aeruginosa",5,"High iron","6",4e+09
"Pseudomonas aeruginosa",6,"High iron","6",5e+09
"Pseudomonas aeruginosa",7,"High iron","6",4e+09
"Pseudomonas aeruginosa",8,"High iron","6",7e+09
"Pseudomonas aeruginosa",9,"High iron","6",3e+09
"Staphylococcus aureus",1,"Low iron","6",4e+07
"Staphylococcus aureus",2,"Low iron","6",2.6e+07
"Staphylococcus aureus",3,"Low iron","6",1.8e+07
"Staphylococcus aureus",4,"Low iron","6",2.4e+07
"Staphylococcus aureus",5,"Low iron","6",1.8e+07
"Staphylococcus aureus",6,"Low iron","6",1.6e+07
"Staphylococcus aureus",7,"Low iron","6",5e+07
"Staphylococcus aureus",8,"Low iron","6",3e+07
"Staphylococcus aureus",9,"Low iron","6",2.2e+07
"Staphylococcus aureus",1,"High iron","6",1.8e+07
"Staphylococcus aureus",2,"High iron","6",3.4e+07
"Staphylococcus aureus",3,"High iron","6",2e+07
"Staphylococcus aureus",4,"High iron","6",3.8e+07
"Staphylococcus aureus",5,"High iron","6",3.8e+07
"Staphylococcus aureus",6,"High iron","6",3.6e+07
"Staphylococcus aureus",7,"High iron","6",2e+07
"Staphylococcus aureus",8,"High iron","6",1.8e+07
"Staphylococcus aureus",9,"High iron","6",4e+07
"Streptococcus sanguinis",1,"Low iron","6",6e+07
"Streptococcus sanguinis",2,"Low iron","6",2e+07
"Streptococcus sanguinis",3,"Low iron","6",6e+07
"Streptococcus sanguinis",4,"Low iron","6",8e+07
"Streptococcus sanguinis",5,"Low iron","6",6e+07
"Streptococcus sanguinis",6,"Low iron","6",2e+07
"Streptococcus sanguinis",7,"Low iron","6",1.4e+08
"Streptococcus sanguinis",8,"Low iron","6",6e+07
"Streptococcus sanguinis",9,"Low iron","6",1.6e+08
"Streptococcus sanguinis",1,"High iron","6",1e+08
"Streptococcus sanguinis",2,"High iron","6",4e+07
"Streptococcus sanguinis",3,"High iron","6",4e+07
"Streptococcus sanguinis",4,"High iron","6",4e+07
"Streptococcus sanguinis",5,"High iron","6",6e+07
"Streptococcus sanguinis",6,"High iron","6",1.4e+08
"Streptococcus sanguinis",7,"High iron","6",8e+07
"Streptococcus sanguinis",8,"High iron","6",8e+07
"Streptococcus sanguinis",9,"High iron","6",2e+07
"Burkholderia orbicola",1,"Low iron","6",4200000
"Burkholderia orbicola",2,"Low iron","6",5200000
"Burkholderia orbicola",3,"Low iron","6",4e+06
"Burkholderia orbicola",4,"Low iron","6",1800000
"Burkholderia orbicola",5,"Low iron","6",2200000
"Burkholderia orbicola",6,"Low iron","6",2600000
"Burkholderia orbicola",7,"Low iron","6",6e+06
"Burkholderia orbicola",8,"Low iron","6",5200000
"Burkholderia orbicola",9,"Low iron","6",5200000
"Burkholderia orbicola",1,"High iron","6",3.4e+07
"Burkholderia orbicola",2,"High iron","6",2.8e+07
"Burkholderia orbicola",3,"High iron","6",3.8e+07
"Burkholderia orbicola",4,"High iron","6",3.6e+07
"Burkholderia orbicola",5,"High iron","6",5.2e+07
"Burkholderia orbicola",6,"High iron","6",4.2e+07
"Burkholderia orbicola",7,"High iron","6",3e+07
"Burkholderia orbicola",8,"High iron","6",4e+07
"Burkholderia orbicola",9,"High iron","6",3.2e+07
"Pseudomonas aeruginosa",1,"Low iron","24",2e+09
"Pseudomonas aeruginosa",2,"Low iron","24",2.6e+09
"Pseudomonas aeruginosa",3,"Low iron","24",3.4e+09
"Pseudomonas aeruginosa",4,"Low iron","24",2e+09
"Pseudomonas aeruginosa",5,"Low iron","24",1.4e+09
"Pseudomonas aeruginosa",6,"Low iron","24",1.6e+09
"Pseudomonas aeruginosa",7,"Low iron","24",1.2e+09
"Pseudomonas aeruginosa",8,"Low iron","24",1.4e+09
"Pseudomonas aeruginosa",9,"Low iron","24",4e+08
"Pseudomonas aeruginosa",1,"High iron","24",4.2e+09
"Pseudomonas aeruginosa",2,"High iron","24",4.4e+09
"Pseudomonas aeruginosa",3,"High iron","24",3.2e+09
"Pseudomonas aeruginosa",4,"High iron","24",4.6e+09
"Pseudomonas aeruginosa",5,"High iron","24",3.4e+09
"Pseudomonas aeruginosa",6,"High iron","24",3.6e+09
"Pseudomonas aeruginosa",7,"High iron","24",2.8e+09
"Pseudomonas aeruginosa",8,"High iron","24",2.8e+09
"Pseudomonas aeruginosa",9,"High iron","24",2.2e+09
"Staphylococcus aureus",1,"Low iron","24",1400
"Staphylococcus aureus",2,"Low iron","24",1400
"Staphylococcus aureus",3,"Low iron","24",800
"Staphylococcus aureus",4,"Low iron","24",200
"Staphylococcus aureus",5,"Low iron","24",400
"Staphylococcus aureus",6,"Low iron","24",200
"Staphylococcus aureus",7,"Low iron","24",200
"Staphylococcus aureus",8,"Low iron","24",200
"Staphylococcus aureus",9,"Low iron","24",200
"Staphylococcus aureus",1,"High iron","24",2200000
"Staphylococcus aureus",2,"High iron","24",1400000
"Staphylococcus aureus",3,"High iron","24",2200000
"Staphylococcus aureus",4,"High iron","24",2600000
"Staphylococcus aureus",5,"High iron","24",2800000
"Staphylococcus aureus",6,"High iron","24",3200000
"Staphylococcus aureus",7,"High iron","24",2e+06
"Staphylococcus aureus",8,"High iron","24",3400000
"Staphylococcus aureus",9,"High iron","24",3e+06
"Streptococcus sanguinis",1,"Low iron","24",2.8e+08
