Cage,Mouse_#,Genotype,Sex,DOB,Age_in_Weeks,Ear_Marking,Treatment,FecalWeight,Timepoint,DateOfCollection,DateofGavage,ExpDay,Age_at_collection,TubeLabel,Date_Extracted,DNA_ng/uL,Plate_Well,SpikeInAdded,SeqCoastTube,FlaggedasLowQualitySequencing
1,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Baseline,21.2,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_1_1,1/5/24,15.7,P3A1,No,1,No
1,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,Baseline,26.8,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_1_2,1/5/24,17.7,P3A2,No,2,No
1,3,664 C57BL/6J,F,9/5/23,7.9,None,Baseline,41.5,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_1_3,1/5/24,38.7,P3A3,No,3,No
2,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Baseline,27.9,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_2_1,1/5/24,26.8,P3A4,No,4,No
2,2,664 C57BL/6J,F,9/5/23,7.9,None,Baseline,34.2,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_2_2,1/5/24,30.9,P3A5,No,5,No
3,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,50.6,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_3_1,1/5/24,77.9,P3A6,No,6,No
3,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,PBS,21.5,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_3_2,1/5/24,30.6,P3A7,No,7,No
3,3,664 C57BL/6J,F,9/5/23,7.9,None,PBS,22.8,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_3_3,1/5/24,77.9,P3A8,No,8,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,23.9,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_4_1,1/5/24,24.5,P3A9,No,9,No
4,2,664 C57BL/6J,F,9/5/23,7.9,None,PBS,13,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_4_2,1/5/24,13,P3A10,No,10,No
5,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,16.4,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_5_1,1/5/24,22.7,P3A11,No,11,No
5,3,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,41.9,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_5_3,1/8/24,46.1,P3B1,No,13,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,28.1,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_6_1,1/8/24,11.5,P3B2,No,14,No
6,2,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,12.3,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_6_2,1/8/24,11.1,P3B3,No,15,No
7,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Baseline,75.4,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_7_1,1/8/24,98.6,P3B4,No,16,No
7,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,Baseline,49.7,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_7_2,1/8/24,59.2,P3B5,No,17,No
7,3,664 C57BL/6J,M,9/5/23,7.9,None,Baseline,14.8,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_7_3,1/8/24,8.8,P3B6,No,18,No
8,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Baseline,34.9,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_8_1,1/8/24,39.7,P3B7,No,19,No
8,2,664 C57BL/6J,M,9/5/23,7.9,None,Baseline,21.2,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_8_2,1/8/24,26.6,P3B8,No,20,No
9,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,32.6,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_9_1,1/8/24,31.8,P3B9,No,21,No
