"ENSEMBL","ENTREZID","SYMBOL","GENENAME"
"ENSG00000000003","7105","TSPAN6","tetraspanin 6"
"ENSG00000000005","64102","TNMD","tenomodulin"
"ENSG00000000419","8813","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"ENSG00000000457","57147","SCYL3","SCY1 like pseudokinase 3"
"ENSG00000000460","55732","FIRRM","FIGNL1 interacting regulator of recombination and mitosis"
"ENSG00000000938","2268","FGR","FGR proto-oncogene, Src family tyrosine kinase"
"ENSG00000000971","3075","CFH","complement factor H"
"ENSG00000001036","2519","FUCA2","alpha-L-fucosidase 2"
"ENSG00000001084","2729","GCLC","glutamate-cysteine ligase catalytic subunit"
"ENSG00000001167","4800","NFYA","nuclear transcription factor Y subunit alpha"
"ENSG00000001460","90529","STPG1","sperm tail PG-rich repeat containing 1"
"ENSG00000001461","57185","NIPAL3","NIPA like domain containing 3"
"ENSG00000001497","81887","LAS1L","LAS1 like ribosome biogenesis factor"
"ENSG00000001561","22875","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4"
"ENSG00000001617","6405","SEMA3F","semaphorin 3F"
"ENSG00000001626","1080","CFTR","CF transmembrane conductance regulator"
"ENSG00000001629","54467","ANKIB1","ankyrin repeat and IBR domain containing 1"
"ENSG00000001630","1595","CYP51A1","cytochrome P450 family 51 subfamily A member 1"
"ENSG00000001631","889","KRIT1","KRIT1 ankyrin repeat containing"
"ENSG00000002016","5893","RAD52","RAD52 homolog, DNA repair protein"
"ENSG00000002330","572","BAD","BCL2 associated agonist of cell death"
"ENSG00000002549","51056","LAP3","leucine aminopeptidase 3"
"ENSG00000002586","4267","CD99","CD99 molecule (Xg blood group)"
"ENSG00000002587","9957","HS3ST1","heparan sulfate-glucosamine 3-sulfotransferase 1"
"ENSG00000002726","26","AOC1","amine oxidase copper containing 1"
"ENSG00000002745","51384","WNT16","Wnt family member 16"
"ENSG00000002746","23072","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
"ENSG00000002822","8379","MAD1L1","mitotic arrest deficient 1 like 1"
"ENSG00000002834","3927","LASP1","LIM and SH3 protein 1"
"ENSG00000002919","29916","SNX11","sorting nexin 11"
"ENSG00000002933","55365","TMEM176A","transmembrane protein 176A"
"ENSG00000003056","4074","M6PR","mannose-6-phosphate receptor, cation dependent"
"ENSG00000003096","90293","KLHL13","kelch like family member 13"
"ENSG00000003137","56603","CYP26B1","cytochrome P450 family 26 subfamily B member 1"
"ENSG00000003147","3382","ICA1","islet cell autoantigen 1"
"ENSG00000003249","79007","DBNDD1","dysbindin domain containing 1"
"ENSG00000003393","57679","ALS2","alsin Rho guanine nucleotide exchange factor ALS2"
"ENSG00000003400","843","CASP10","caspase 10"
"ENSG00000003402","8837","CFLAR","CASP8 and FADD like apoptosis regulator"
"ENSG00000003436","7035","TFPI","tissue factor pathway inhibitor"
"ENSG00000003509","55471","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7"
"ENSG00000003756","10181","RBM5","RNA binding motif protein 5"
"ENSG00000003987","9108","MTMR7","myotubularin related protein 7"
"ENSG00000003989","6542","SLC7A2","solute carrier family 7 member 2"
"ENSG00000004059","381","ARF5","ADP ribosylation factor 5"
"ENSG00000004139","23098","SARM1","sterile alpha and TIR motif containing 1"
"ENSG00000004142","26073","POLDIP2","DNA polymerase delta interacting protein 2"
"ENSG00000004399","23129","PLXND1","plexin D1"
"ENSG00000004455","204","AK2","adenylate kinase 2"
"ENSG00000004468","952","CD38","CD38 molecule"
"ENSG00000004478","2288","FKBP4","FKBP prolyl isomerase 4"
"ENSG00000004487","23028","KDM1A","lysine demethylase 1A"
"ENSG00000004534","10180","RBM6","RNA binding motif protein 6"
"ENSG00000004660","84254","CAMKK1","calcium/calmodulin dependent protein kinase kinase 1"
"ENSG00000004700","5965","RECQL","RecQ like helicase"
"ENSG00000004766","55610","VPS50","VPS50 subunit of EARP/GARPII complex"
"ENSG00000004776","126393","HSPB6","heat shock protein family B (small) member 6"
"ENSG00000004777","115703","ARHGAP33","Rho GTPase activating protein 33"
"ENSG00000004779","4706","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1"
"ENSG00000004799","5166","PDK4","pyruvate dehydrogenase kinase 4"
"ENSG00000004809","85413","SLC22A16","solute carrier family 22 member 16"
"ENSG00000004838","51364","ZMYND10","zinc finger MYND-type containing 10"
"ENSG00000004846","340273","ABCB5","ATP binding cassette subfamily B member 5"
"ENSG00000004848","170302","ARX","aristaless related homeobox"
"ENSG00000004864","10165","SLC25A13","solute carrier family 25 member 13"
"ENSG00000004866","7982","ST7","suppression of tumorigenicity 7"
"ENSG00000004897","996","CDC27","cell division cycle 27"
"ENSG00000004939","6521","SLC4A1","solute carrier family 4 member 1 (Diego blood group)"
"ENSG00000004948","799","CALCR","calcitonin receptor"
"ENSG00000004961","3052","HCCS","holocytochrome c synthase"
"ENSG00000004975","1856","DVL2","dishevelled segment polarity protein 2"
"ENSG00000005001","64063","PRSS22","serine protease 22"
